Names,Low,High,TradingView,Hyper_link_Traiding_view,Grow Url,Hyper_link_Grow,scraper_links
DSP NIFTY 1D Rate Liquid ETF - IDCW Daily,1202,1274,,,,,https://economictimes.indiatimes.com/dsp-nifty-1d-rate-liquid-etf/mffactsheet/schemeid-35400.cms?from=mdr
DSP NIFTY 50 Equal Weight ETF - Growth,194,260,,,,,https://economictimes.indiatimes.com/dsp-nifty-50-equal-weight-etf/mffactsheet/schemeid-41801.cms?from=mdr
ICICI Prudential FMCG ETF,421,561,,,,,https://economictimes.indiatimes.com/icici-prudential-nifty-fmcg-etf/mffactsheet/schemeid-41601.cms?from=mdr
ICICI Prudential Healthcare ETF,100,73,,,,,https://economictimes.indiatimes.com/icici-prudential-nifty-healthcare-etf/mffactsheet/schemeid-41502.cms?from=mdr
ICICI Prudential Nifty 100 ETF,178,225,,,,,https://economictimes.indiatimes.com/icici-prudential-nifty-100-etf/mffactsheet/schemeid-20933.cms?from=mdr
ICICI Prudential Nifty 100 Low Volatility 30 ETF,170,130,,,,,https://economictimes.indiatimes.com/icici-prudential-nifty-100-low-volatility-30-etf-fof/mffactsheet/schemeid-41397.cms?from=mdr
ICICI Prudential Nifty Alpha Low Volatility 30 ETF,205,161,,,,,https://economictimes.indiatimes.com/icici-prudential-nifty-alpha-low-volatility-30-etf/mffactsheet/schemeid-41071.cms?from=mdr
ICICI Prudential Nifty India Consumption ETF,100,71,,,,,https://economictimes.indiatimes.com/icici-prudential-nifty-india-consumption-etf/mffactsheet/schemeid-41802.cms?from=mdr
ICICI Prudential Nifty 50 ETF-IDCW,228,172,,,,,https://economictimes.indiatimes.com/icici-prudential-nifty-50-etf/mffactsheet/schemeid-18653.cms?from=mdr
ICICI Prudential Nifty Midcap 150 ETF,159,112,,,,,https://economictimes.indiatimes.com/icici-prudential-nifty-midcap-150-etf/mffactsheet/schemeid-40555.cms?from=mdr
ICICI Prudential Nifty Next 50 ETF,37,52,,,,,https://economictimes.indiatimes.com/icici-prudential-nifty-next-50-etf/mffactsheet/schemeid-37322.cms?from=mdr
ICICI Prudential Nifty Private Bank ETF - Growth,194,238,,,,,https://economictimes.indiatimes.com/icici-prudential-nifty-private-bank-etf/mffactsheet/schemeid-40210.cms?from=mdr
ICICI Prudential S&P BSE Liquid Rate ETF,990,1200,,,,,https://economictimes.indiatimes.com/icici-prudential-sp-bse-liquid-rate-etf/mffactsheet/schemeid-37659.cms?from=mdr
ICICI Prudential S&P BSE Sensex ETF,626,755,,,,,https://economictimes.indiatimes.com/icici-prudential-sp-bse-sensex-etf/mffactsheet/schemeid-1512.cms?from=mdr
Invesco India Nifty 50 ETF,1844,2278,,,,,https://economictimes.indiatimes.com/invesco-india-nifty-50-etf/mffactsheet/schemeid-12761.cms?from=mdr
Kotak IT ETF,27,34,,,,,https://economictimes.indiatimes.com/kotak-nifty-it-etf/mffactsheet/schemeid-41345.cms?from=mdr
Kotak Nifty 50 ETF-IDCW,179,218,,,,,https://economictimes.indiatimes.com/kotak-nifty-50-etf/mffactsheet/schemeid-10843.cms?from=mdr
Kotak Nifty Alpha 50 ETF,24,36,,,,,https://economictimes.indiatimes.com/kotak-nifty-alpha-50-etf/mffactsheet/schemeid-41896.cms?from=mdr
Kotak Nifty Bank ETF,391,475,,,,,https://economictimes.indiatimes.com/kotak-nifty-bank-etf/mffactsheet/schemeid-28873.cms?from=mdr
